Dataset,AdaBoostClassifier,EasyEnsemble,MWMOTE,SMOTE,vSVM,imr,ovlap
abalone,0.273485984811,0.365216440856,0.40225534566,0.40299821133,0.219632484418,0.0666496424923,0.727969348659
haber,0.330044527396,0.523699446488,0.413245832805,0.450979171736,0.401099608751,0.36,0.679012345679
iono,0.884226629861,0.954202395795,0.847439610289,0.857500230117,0.348104208035,0.56,0.325396825397
isolet,0.884955752212,0.665091622656,0.889213770302,0.873356138082,0.440366972477,0.0400133377793,0.1
letter,0.888764059068,0.757684652346,0.876961058097,0.881604061186,0.65564930329,0.0410702201864,0.00887198986058
mf-mor,0.988463583582,0.972822369114,0.987473633833,0.987486078129,0.830025348953,0.111111111111,0.015
mf-zer,0.945967700057,0.9402491312,0.950190780923,0.947140936735,0.680076097988,0.111111111111,0.03
pima,0.623294921889,0.73593308957,0.642573922335,0.664775296264,0.494656033372,0.536,0.458955223881
sat,0.612466124661,0.616805163814,0.632858912087,0.629120099788,0.632743362832,0.103233830846,0.142168674699
sat20,0.547368421053,0.458976025897,0.514938597962,0.536982739239,0.59649122807,0.0562189054726,0.225663716814
uair,0.815299198026,0.764371559297,0.81707025668,0.829148024897,0.523205712175,0.132834836156,0.242089771891
